"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 24 08:35:14 GMT 2022","Mon Oct 24 08:35:49 GMT 2022","34834","Register new account","Create user","","","","Create a new RKS Coordinator account: add new account",""
"passed","Mon Oct 24 08:35:11 GMT 2022","Mon Oct 24 08:35:12 GMT 2022","1089","","Register new account","","","","Create a new RKS Coordinator account: back to login form",""
"broken","Mon Oct 24 08:35:26 GMT 2022","Mon Oct 24 08:35:33 GMT 2022","7164","","Select the My Account/Profile: verify you see the 5 tabs, and also Back and Logout links","","","","Verify the My Account/Profile",""
"failed","Mon Oct 24 08:35:49 GMT 2022","Mon Oct 24 08:35:55 GMT 2022","5880","Register new account","Create user","","","","Activate account",""
"passed","Mon Oct 24 08:35:12 GMT 2022","Mon Oct 24 08:35:14 GMT 2022","1837","","Register new account","","","","Create a new RKS Coordinator account: check validation",""
"passed","Mon Oct 24 08:35:08 GMT 2022","Mon Oct 24 08:35:11 GMT 2022","3363","","Register new account","","","","Create a new RKS Coordinator account: check elements of interface",""
"broken","Mon Oct 24 08:35:37 GMT 2022","Mon Oct 24 08:35:37 GMT 2022","1","","Log out","","","","Log out",""
"failed","Mon Oct 24 08:35:55 GMT 2022","Mon Oct 24 08:35:59 GMT 2022","4401","Register new account","Create user","","","","remove account ",""
